Pre-Prod No.;Client;Description;Artwork required;STATUS;Comments;Artwork Received;Sent Proof for WT_SP;Sent Proof to Client;Proof Approved (Conventional);Ordered Plates;Plates Arrived;Ordered Foil Block;Foil Block Arrived;Quoted;Spec Supplied
20207;Amka Products;Everysun Sunscreen Kids Lotion SPF50 50ml;;Closed;;05.02.2025;17.02.2025;18.02.2025;06.03.2025;11.03.2025;12.03.2025;;;;
20208;Amka Products;Everysun Sunscreen Lotion SPF30 100ml;;Closed;;05.02.2025;17.02.2025;18.02.2025;06.03.2025;11.03.2025;12.03.2025;;;;
20209;Amka Products;Everysun Sunscreen Lotion SPF50 100ml;;Closed;;05.02.2025;17.02.2025;18.02.2025;06.03.2025;11.03.2025;12.03.2025;;;;
20210;Saradox;Goodstuff ECR Cream Cleanser 150ml;;;;;;;;;;;;;
20211;Saradox;GS Bee Natural Cream Cleanser 150ml;;;;;;;;;;;;;
20212;Diageo South Africa;Gordons Dry Gin 200ml - New Mould;;;;;;;;;;;;;
20213;Diageo South Africa;Preform Injection Mould 29.5 g 12 cavity;;;;;;;;;;;;;
20214;Bowler CT;19.5g Preform Injection Mould - 28mm PCO 181 (Auction Mould);;;;;;;;;;;;;
20215;Bowler CT;21g Preform Injection Mould - 28mm PCO 1881 (Auction Mould);;;;;;;;;;;;;
20216;Parceval Pharmaceuticals;Vita E Skin Lotion 150ml;;;;;;;;;;;;;
20217;Parceval Pharmaceuticals;Chela Preg 150ml;;;;;;;;;;;;;
20218;Mizosys;Eden Perfumes Luxurious Fragranced Body Lotion 250ml (Female);;Closed;;29.01.2025;20.02.2025;20.02.2025;24.02.2025;18.03.2025;23.03.2025;;;;
20219;Mizosys;Eden Perfumes Luxurious Body Lotion 250ml (Male);;Closed;;29.01.2025;20.02.2025;20.02.2025;24.02.2025;18.03.2025;23.03.2025;;;;
20220;Amka Products;Satiskin (Playgirl) 400ml HDPE - Mould;;;;;;;;;;;;;
20221;Ranbaxy Pharmaceuticals (pty)Ltd;Candaspor Topical Cream 20g ;;On proof (awtg approval);Emailed Senate;22.11.2024;18.02.2025;18.02.2025;;;;;;;
20222;Izazi Travel;Pure Glow Renewal Face Scrub 4 dec 2025 order cancelled;;;;;;;;;;;;;
20223;Ranbaxy Pharmaceuticals (pty)Ltd;Septadine Antiseptic Ointments 25g;;On proof (awtg approval);Emailed Senate;22.11.2024;18.02.2025;18.02.2025;;;;;;;
20224;Ranbaxy Pharmaceuticals (pty)Ltd;Candaspor Vaginal Cream 50g;;On proof (awtg approval);Emailed Senate;22.11.2024;18.02.2025;18.02.2025;;;;;;;
20225;Ocean Freedom;Mineral Active 100ml With CANSA Logo;;SIP;;13.02.2025;26.02.2025;26.02.2025;04.03.2025;05.03.2025;07.03.2025;;;;
20226;Shield Chemicals;Mr Sheen 1lt Tile Cleaner;;;;;;;;;;;;;
20227;Idexis;Tetracaine Oral Gel 25g 3/4/25 on hold;;;;;;;;;;;;;
20228;Azochem;Venus Cap - Blue  300 units;;;;;;;;;;;;;
20229;SMI International;RSQ Lip Balm 8gr;;Closed;;27.02.2025;28.02.2025;28.02.2025;05.03.2025;12.03.2025;14.03.2025;;;;
20230;Blulyte;ULA Skin Exfoliator 50ml;;Cancelled;;25.02.2025;03.03.2025;03.03.2025;;;;;;;
20231;Eezysun;Eezysun Aftersun Gel 100ml;;;;;;;;;;;;;
20232;Eezysun;Eezysun Kids 100ml;;;;;;;;;;;;;
20233;Eezysun;Adult Sunscreen 100ml;;;;;;;;;;;;;
20234;Kyron Laboratories;Arnica Muscular Relief 50ml - Labelled;;;;;;;;;;;;;
20235;Mom Bod;Mom Bod Stretch Skin Serum 80ml;;;;;;;;;;;;;
20236;Azochem;500ml J Lid Gold (Cocoa Butter Shoprite);;;;;;;;;;;;;
20237;Azochem;500ml J Lid Pink 190c (Rich Musk Shoprite);;;;;;;;;;;;;
20238;Kool a Sun;Perfume Room Hand Lotion 75ml;;Closed;;18.02.2025;26.02.2025;03.03.2025;10.03.2025;12.03.2025;14.03.2025;;;;
20239;Kool a Chem;Flatdog Enrich 125ml  ( 5/3 on hold.);;Closed;;19.06.2025;07.07.2025;07.07.2025;;;;;;;
20240;Amka Products;SSF Rub On Tube 150ml;;Trialed;;19.06.2025;07.07.2025;07.07.2025;10.07.2025;10.07.2025;14.07.2025;;;;
20241;KV Art;Dala Acrylic 30ml;;Closed;;11.02.2025;28.02.2025;03.03.2025;04.03.2025;12.03.2025;14.03.2025;;;;
20242;KV Art;Dala Acrylic 200ml;;Closed;;11.02.2025;28.02.2025;03.03.2025;04.03.2025;12.03.2025;14.03.2025;;;;
20243;Amka Products;Purity 250/450 Non T/Lock lid Pink;;;;;;;;;;;;;
20244;Amka Products;Purity 250/450 Non T/Lock lid Blue;;;;;;;;;;;;;
20245;Amka Products;Purity 125/150 Non T/Lock lid Pink;;;;;;;;;;;;;
20246;Amka Products;Purity 125/150 Non T/Lock lid Blue;;;;;;;;;;;;;
20247;Lemkoma BTKO;Tube 40x120/10 LDPE Black;;;;;;;;;;;;;
20248;Amka Products;Indented R/O Bottle With 30% RHDPE;;;;;;;;;;;;;
20249;Canway;Sheermagic Cap 726c (T20191);;;;;;;;;;;;;
20250;Canway;Sheermagic Cap 7508c (T20190);;;;;;;;;;;;;
20251;Mizosys;Eden Perfumes Luxurious Hand Lotion 75ml;;;;;;;;;;;;;
20252;Kool a Sun;Sunseeker's Friend SPF50 150ml;;;;;;;;;;;;;
20253;Tiger (Filler Prime);Ingrams Petrolium Jelly Jar 100ml - Labelled;;;;;;;;;;;;;
20254;Amka Products;125/150 Non T/lock Jar in Advance 400 +1% UltraClear GP120B;;;;;;;;;;;;;
20255;Amka Products;250ml Non T/lock Jar in Advance 400 +1% UltraClear GP120B;;;;;;;;;;;;;
20256;Amka Products;450ml Non T/lock Jar in Advance 400 +1% UltraClear GP120B;;;;;;;;;;;;;
20257;Tiger (Filler Prime);5Lt Jerry Can 180gm - Blue Fluorinated  (145kg M/B In Redundant stock);;;;;;;;;;;;;
20258;Botle Buhle;Puer Paradisia For Her Fantasy Luxury H&B Lotion 150ml;;Trialed;;13.06.2025;18.06.2025;19.06.2025;24.06.2025;25.06.2025;26.06.2025;;;;
20259;Adcock Ingram;Milcreek Bottle 500ml 30% and 60% RHDPE - Lilac;;;;;;;;;;;;;
20260;Adcock Ingram;Milcreek Bottle 500ml 30% and 60% RHDPE - Yellow;;;;;;;;;;;;;
20261;Adcock Ingram;Milcreek Bottle 500ml 30% and 60% RHDPE - Green;;;;;;;;;;;;;
20262;Chet Chemicals;250ml Tall Boston 50% RPET 24/410 ( Send 24/415 neck White PP20102);;;;;;;;;;;;;
20263;Saradox;GS Here We Glow Again Hand Cream 75ml;;;;;;;;;;;;;
20264;Amka Products;250 / 350 / 450ml Purity Jelly PP Lid Design Request;;;;;;;;;;;;;
20265;Amka Products;100  Purity Jelly PP Lid Design Request;;;;;;;;;;;;;
20266;Alcopac;Rocky Enlargement Cream 50ml;;Closed;;07.03.2025;16.04.2025;16.04.2025;17.04.2025;24.04.2025;02.05.2025;;;;
20267;Nutriwoman;HG Removal Cream for Men 125ml;;;;;;;;;;;;;
20268;Nutriwoman;HG Hair Removal Cream Bikini & Underarm 125ml;;;;;;;;;;;;;
20269;Nutriwoman;HG Ingrown Hair Serum 50ml;;;;;;;;;;;;;
20270;Nutriwoman;HG Post Wax Soothing Lotion 50ml;;;;;;;;;;;;;
20271;Nutriwoman;HG Pre Wax Cleansing Gel 50ml;;;;;;;;;;;;;
20272;A White Natural Products;Teething Gel 15ml;;;;;;;;;;;;;
20273;Botle Buhle;Puer Amara Bliss Luxury Hand & Body Lotion 150ml;;Closed;;27.02.2025;19.03.2025;19.03.2025;20.03.2025;25.03.2025;27.03.2025;;;;
20274;Prime Products;PH Justine Tissue oil SPF15 60ml;;Closed;;23.01.2025;24.03.2025;24.03.2025;25.03.2025;26.03.2025;27.03.2025;;;;
20275;Prime Products;PH Justine Tissue oil SPF15 100ml;;Closed;;23.01.2025;24.03.2025;24.03.2025;25.03.2025;26.03.2025;27.03.2025;;;;
20276;Shanker Brands;Big Ball R/O Cap - Flat - Silver;;;;;;;;;;;;;
20277;Willow Soaps (Pty) Ltd;Aloe Range 2-in-1 Facial Exfoliating Mask 100ml;;;;;;;;;;;;;
20278;Chet Chemicals;Bio Crystak Ruby 1Kg - Labelled;;;;;;;;;;;;;
20279;Chet Chemicals;Bio Crystal Regular 1Kg - Labelled;;;;;;;;;;;;;
20280;Natures Choice;Swiss Petaloid Bottle 500ml with 20% RPET;;;;;;;;;;;;;
20281;Azochem;Disc Top Cap 28mm - Blue ( Bought In From H3);;;;;;;;;;;;;
20282;CW Pharmaceuticals;Acne Solutions Purifying Cleansing Gel 200ml;;Closed;;25.03.2025;27.03.2025;27.03.2025;16.04.2025;25.04.2025;29.04.2025;;;;
20283;Tiger (Filler Prime);Ingrams PET Jelly Jar 250ml - Labelled;;;;;;;;;;;;;
20284;Catwalk;Wintergreen Ice Blast 250ml;;;;;;;;;;;;;
20285;Environ Skin Care;Body Essentia Tri- Complex Contouring Crm 125ml;;Closed;;21.01.2025;23.03.2025;27.03.2025;16.04.2025;25.04.2025;27.04.2025;;;;
20286;Norsouth Trading;Flatdog Little Uns 125ml;;;;;;;;;;;;;
20287;Bio Earth Man.;Le Lube 69ml;;;;;;;;;;;;;
20288;Indigo Cosmetics;E/Blazer Green Glass R/O Bottle 50ml - Labelled;;;;;;;;;;;;;
20289;Pharmanacity (Pty) Ltd;Rev 5 Natural Muscle Gel 75g;;;;;;;;;;;;;
20290;Amka Products;250/450 Non T/Lock Lid - Purple;;;;;;;;;;;;;
20291;Amka Products;Purity Colour Match - Turquoise (Lid) 250 Non T/Lock Lid;;;;;;;;;;;;;
20292;Bugger OFF;Bugger Off Natural Body Crème 75ml;;;;;;;;;;;;;
20293;Bugger OFF;Bugger Off Kids Body Crème 75ml;;;;;;;;;;;;;
20294;Busby Oils Natal;Body Butter Lid 175ml;;;;;;;;;;;;;
20295;Busby Oils Natal;Body Butter Jar 175ml;;;;;;;;;;;;;
20296;Unilever;350ml Eve Jar Dawn - Grey;;;;;;;;;;;;;
20297;Unilever;350ml Eve Lid Dawn - Grey;;;;;;;;;;;;;
20298;RG Cosmetics;Inuka Modern Me 50ml;;;;;;;;;;;;;
20299;Indigo Cosmetics;Exclamation Perfumed Body Lotion 150ml;;;;;;;;;;;;;
20300;L Dingler;Tamperlock Lid Mould 15g - 2 cav Pilot Mould;;;;;;;;;;;;;
20301;Tiger (Filler Prime);Ingrams Men's Moisture Max Cream - Labelled (Urola Jar);;;;;;;;;;;;;
20302;Indigo Cosmetics;Exclamation Hand Cream 75ml;;;;;;;;;;;;;
20303;Justine;Justine Daily Hydrating Foaming Gel Cleanser 150ml;;Closed;;24.03.2025;09.04.2025;10.04.2025;14.04.2025;15.05.2025;17.04.2025;;;;
20304;Justine;Justine Daily Nourishing Cream Cleanser 150ml;;Closed;;24.03.2025;09.04.2025;10.04.2025;14.04.2025;15.05.2025;17.04.2025;;;;
20305;Justine;Justine Daily Purifying Foaming Gel Cleanser 150ml;;Closed;;24.03.2025;09.04.2025;10.04.2025;14.04.2025;15.05.2025;17.04.2025;;;;
20306;Bikinvention;Squirt 100g Barrier Cream  ( Material Change);;Closed;;07.04.2025;22.04.2025;22.04.2025;24.04.2025;25.04.2025;05.05.2025;;;;
20307;Indigo Cosmetics;E/Blazer Red Glass R/O Bottle - Labelled;;;;;;;;;;;;;
20308;MobioPlus;38mm HDPE Wad - Chem cap - Black;;;;;;;;;;;;;
20309;Shopright Checkers;Boston Tall 200ml PET - Amber (24/410);;;;;;;;;;;;;
20310;RG Cosmetics;Inuka Modern Me 50ml - Eyemark trials;;;;;;;;;;;;;
20311;Cosmatec;Tissue Oil Lightly Fragranced 100ml  20/410;;Closed;;18.02.2025;22.04.2025;22.04.2025;22.04.2025;25.04.2025;02.05.2025;;;;
20312;Cosmatec;Tissue Oil Unfragranced 100ml 20/410;;Closed;;18.02.2025;22.04.2025;22.04.2025;22.04.2025;25.04.2025;02.05.2025;;;;
20313;Shield Chemicals;Health Glow Sunscreen Lotion SPF50 50ml (Crazy Store);;Closed;;26.02.2025;17.04.2025;22.04.2025;23.04.2025;29.04.2025;05.05.2025;;;;
20314;Shield Chemicals;Health Glow Sunscreen Lotion SPF50 150ml (Crazy Store);;Closed;;26.02.2025;17.04.2025;22.04.2025;23.04.2025;29.04.2025;05.05.2025;;;;
20315;Shield Chemicals;Health Glow After Sun Gel Aloe Vera 150ml (Crazy Store);;Closed;;26.02.2025;17.04.2025;22.04.2025;23.04.2025;29.04.2025;05.05.2025;;;;
20316;Amka Products;Big Ball R/O Cap Tnt Pink ;;;;;;;;;;;;;
20317;Tiger (Filler Prime);ICC Moisture Plus 450ml Urola - Labelled;;;;;;;;;;;;;
20318;Bowler CT;38mm Ratchet Cap Mould Replacement;;;;;;;;;;;;;
20319;Bowler CT;28mm Chemical Cap Mould Replacement;;;;;;;;;;;;;
20320;Bowler CT;1.5 Thin Bleach Bottle Mould Replacement;;;;;;;;;;;;;
20321;Bowler CT;750ml Thick Bleach Bottle Mould Replacement;;;;;;;;;;;;;
20322;Shield Chemicals;Health Glow Sunscreen Lotion Kids SPF50 ( Crazy Store)100ml;;Closed;;17.04.2025;22.04.2025;23.04.2025;29.04.2025;29.04.2025;05.05.2025;;;;
20323;Just In Time Imports and Exports (Pty) Ltd;Therm X Pain Relieving Topical Cream 100g;;Closed;;17.03.2025;22.04.2025;22.04.2025;23.04.2025;25.04.2025;02.05.2025;25.04.2025;29.04.2025;;
20324;A White Natural Products;Teething Gel 15ml expire 6-28;;;;;;;;;;;;;
20325;A White Natural Products;Teething Gel 15ml expire 8-28;;;;;;;;;;;;;
20326;H3;Venus Cap - Green;;;;;;;;;;;;;
20327;Aerosol & Cosm.;Woolworths Bergamot Hand & Nail Cream 30ml 18/6 25 order cancelled;;;;;;;;;;;;;
20328;Aerosol & Cosm.;Woolworths Sweet Fig Hand & Nail Cream 30ml 18/6 25 order cancelled;;;;;;;;;;;;;
20329;Eezysun;Clicks Sun Protect SPF50 Insect Repellent Sunscreen Lotion 50ml;;;;;;;;;;;;;
20330;Eezysun;Clicks Sun Protect SPF50 Sunscreen Lotion 50ml;;;;;;;;;;;;;
20331;Eezysun;Clicks Sun Protect Aloe Lotion 200ml;;;;;;;;;;;;;
20332;Amka Products;16g J Jar;;;;;;;;;;;;;
20333;Amka Products;16g J Lid;;;;;;;;;;;;;
20334;African Botanics;Boabab Clay Oxygenation Cleaner 100ml;;Closed;;04.09.2025;22.04.2025;22.04.2025;22.04.2025;25.02.2025;29.04.2025;;;;
20335;Bowler JHB;20g Injection Preform Mould - 28mm neck;;;;;;;;;;;;;
20336;Adcock Ingram;Prosana Hair Growth Shampoo - 200ml (SIP);;SIP;;;;;;23.04.2025;24.04.2025;;;;
20337;Saradox;Saradox Bee Natural Foot Cream - 100ml;;;;;;;;;;;;;
20338;Environ Skin Care;Rad Sun Care+ SPF15 Sun Cream - 100ml (SIP) (Injection Head);;;;;;;;;;;;;
20339;House Of Aloes ;Aloe Gel - All in One 75ml;;Closed;;05.05.2025;;08.05.2025;12.05.2025;;;;;;
20340;BMS Cosmetics;Fino Soothe Hair Removal Crème 125ml;;;;;;;;;;;;;
20341;Designer PET Packaging;Trident Tattoo Healing Gel 20ml ( 26/5/25 Order Cancelled );;;;;;;;;;;;;
20342;The Bee Shop;Honeysuckle Face Wash - 100ml;;;;;;;;;;;;;
20343;Environ Skin Care;Environ Gentle Cream Cleanser 150ml;;Closed;;25.04.2025;12.05.2025;13.05.2025;19.05.2025;22.05.2025;26.05.2025;;;;
20344;Environ Skin Care;Environ Foaming Gel Cleanser 150ml;;Closed;;25.04.2025;12.05.2025;13.05.2025;19.05.2025;22.05.2025;26.05.2025;;;;
20345;R and W Labs;Peacefull Sleep Cap - Green;;;;;;;;;;;;;
20346;Kool a Sun;Solis Care 150ml (Cindi to Ok Art costs not to be payed as per Rob);;;;;;;;;;;;;
20347;Shield Chemicals;Push Pull Assembled White and Blue ( New Modified Mould);;;;;;;;;;;;;
20348;Eezybrands;Eezysun Nipple Cream 50ml;;;;;;;;;;;;;
20349;Eezybrands;Eezysun Baby Bum Cream 50ml;;;;;;;;;;;;;
20350;Eezybrands;Eezysun Cradle Cap Cream 50ml;;;;;;;;;;;;;
20351;Prime Products;Talc Bottle Sprinkler Cap - Pink;;;;;;;;;;;;;
20352;Creighton Prod.;Sun Protection Face Cream SPF50 20ml;;Closed;;12.05.2025;15.05.2025;19.05.2025;19.05.2025;20.05.2025;22.05.2025;;;;
20353;Environ Skin Care;Environ Foaming Gel Cleanser 100ml;;Closed;;13.05.2025;19.05.2025;19.05.2025;18.06.2025;19.06.2025;;;;;
20354;Aerosol & Cosm.;WW Longmarket Bergamot H & N Cream 60ml;;;;;;;;;;;;;
20355;Aerosol & Cosm.;WW Longmarket Fig H & N Cream 60ml;;;;;;;;;;;;;
20356;J Knight;Vida is Life Wig Glue 50ml;;Closed;;22.05.2025;28.05.2025;28.05.2025;11.06.2025;12.06.2025;17.06.2025;;;;
20357;J Knight;Vida is Life Wig Glue 100ml;;;;;;;;;;;;;
20358;Premier Packaging;2lt  90gr White Jerry Can Labelled Front and Back;;;;;;;;;;;;;
20359;The Perfume Garden;PJ Jar 250ml;;;;;;;;;;;;;
20360;Rain Africa;Skincare Exfoliator 50ml;;;;;;;;;;;;;
20361;Amka Products;Tall Boston 150ml 24/410 - Amber 19g (16g is C0150SKY008F);;;;;;;;;;;;;
20362;Tiger (Filler Prime);Ingrams Moisture Plus Cream Export Urola 450ml Label;;;;;;;;;;;;;
20363;Mentholatum;Glyco Lemon Detangler 250ml - Sleeved PET Natural;;;;;;;;;;;;;
20364;Honeysuckle;Classic Radiance 50ml;;;;;;;;;;;;;
20365;Creighton Prod.;Bath Delight Strawberry Cupcake Body Wash 60ml;;;;;;;;;;;;;
20366;Creighton Prod.;Bath Delight BlueBerry Milkshake Body Wash 60ml;;;;;;;;;;;;;
20367;Catwalk;Magnolia Exfoliating Scrub 250ml;;;;;;;;;;;;;
20368;Prime Products;Techni Block SPF50 Active Sun Protection Lotion 125ml;;Closed;;16.04.2025;27.05.2025;27.05.2025;30.05.2025;06.06.2025;09.06.2025;;;;
20369;Norsouth Trading;Flatdog Extreme 125ml;;;;;;;;;;;;;
20370;Amka Products;350ml Non T/Lock Jar  White (Purity Range);;;;;;;;;;;;;
20371;Parceval Pharmaceuticals;Bettaway Aloe Vera Skin Gel 75ml;;;;;;;;;;;;;
20372;Bio Earth Man.;Dr Si Folibuild 100ml;;;;;;;;;;;;;
20373;Skye;20/415 Double Wall Cap Natural with Plug (Local Cap Supply);;;;;;;;;;;;;
20374;Union Swiss;Bio Oil Mould 60ml;;;;;;;;;;;;;
20375;Amka Products;Young Solution Wash Up Face Wash 150ml;;Order Positives;Emailed  Karen;08.05.2025;26.05.2025;28.05.2025;15.01.2026;20.01.2026;;;;;
20376;African Caribean Aloe Products;Curaloe Aloe Vera Revlieving Gel 150ml;;;;;;;;;;;;;
20377;Totally Wild;Aloe 24 SA 100ml;;;;;;;;;;;;;
20378;Aerosol & Cosm.;WW Longmarket Orange Blossom H&N Cream 30ml;;;;;;;;;;;;;
20379;DrinkWorx;1Lt Barmix ( Mould Modification );;;;;;;;;;;;;
20380;Comafrica Marketing;Colour Match Green.;;;;;;;;;;;;;
20381;Nutriwoman;HairGo Hair Removal Cream Sensitive  50ml;;;;;;;;;;;;;
20382;Nutriwoman;Hairgo Hair Removal Cream Sensitive 125ml;;;;;;;;;;;;;
20383;KV Art;Spice Tub Lid - Grey;;;;;;;;;;;;;
20384;Prime Products;Techni Block Anti- Ageing Face Crème SPF 50 75ml;;Closed;;16.04.2025;27.05.2025;27.05.2025;30.05.2025;06.06.2025;09.06.2025;;;;
20385;M & M Fragrances;M&M Fragrance of Love Hand & Body Moisturising Lotion 100ml;;;;;;;;;;;;;
20386;KV Art;Spice Tub Lid - Orange;;;;;;;;;;;;;
20387;KV Art;Spice Tub Lid - Lt Blue;;;;;;;;;;;;;
20388;KV Art;Spice Tub Lid - White;;;;;;;;;;;;;
20389;KV Art;Spice Tub Lid - Black ;;;;;;;;;;;;;
20390;KV Art;Spice Tub Lid - Blue;;;;;;;;;;;;;
20391;KV Art;Spice Tub Lid - Neon Orange;;;;;;;;;;;;;
20392;KV Art;Spice Tub Lid - Neon Pink;;;;;;;;;;;;;
20393;KV Art;Spice Tub Lid - Neon Green;;;;;;;;;;;;;
20394;KV Art;Spice Tub Lid - Neon Yellow;;;;;;;;;;;;;
20395;KV Art;Spice Tub Lid - Yellow;;;;;;;;;;;;;
20396;KV Art;Spice Tub Lid - Brown;;;;;;;;;;;;;
20397;KV Art;Spice Tub Lid - Purple;;;;;;;;;;;;;
20398;KV Art;Spice Tub Lid - Peach;;;;;;;;;;;;;
20399;KV Art;Spice Tub Lid - Green;;;;;;;;;;;;;
20400;KV Art;Spice Tub Lid - Red;;;;;;;;;;;;;
20401;Import Export Licence;Eva Glow Kids Toothpaste 75ml;;;;;;;;;;;;;
20402;CW Pharmaceuticals;Nutriderm Acne - Solutions Mattifying Hydrator 40ml;;;;;;;;;;;;;
20403;CW Pharmaceuticals;Nutriderm Acne - Solutions Sun Hydrator Cream SPF15 75ml;;Closed;;25.03.2025;30.05.2025;30.05.2025;02.06.2025;06.06.2025;10.06.2025;;;;
20404;Adcock Ingram;Epimax Baby & Junior Bum Cream 125g - IML Labelled;;;;;;;;;;;;;
20405;Adcock Ingram;Epimax Ultra Ointment 125ml - IML Labelled;;;;;;;;;;;;;
20406;Canway;24/410 Flip top Cap - Gold;;;;;;;;;;;;;
20407;Canway;24/410 Flip top Cap - Plum;;;;;;;;;;;;;
20408;Botle Buhle;Pure African Twilight Woman Luxury Hand & Body Lotion 150ml;;Closed;;19.02.2025;30.05.2025;02.06.2025;12.06.2025;12.06.2025;17.06.2025;;;;
20409;Busby Oils Natal;BON Intensive Moisturiser HAnd & Body 250ml;;Trialed;;29.05.2025;10.06.2025;10.06.2025;10.06.2025;11.06.2025;17.06.2025;;;;
20410;Canway;24/410 Screw On Cap - Lilac(BMLil085);;;;;;;;;;;;;
20411;Accolade LAboratories;50x130/10 COEX White-M/Lacq-Unptd;;;;;;;;;;;;;
20412;Union Swiss;25x145/4 Unprinted PBL Tube and cap (with Eye-Mark) with foil seal 27/6 must change orifice to 6mm;;;;;;;;;;;;;
20413;Union Swiss;35x140/8 Unprinted ABL Tube and cap (with Eye-Mark) with foil seal;;;;;;;;;;;;;
20414;Union Swiss;35x140/6 Unprinted PBL Tube and cap (with Eye-Mark) with foil seal ;;;;;;;;;;;;;
20415;Union Swiss;35x140/8 Unprinted PBL Tube and cap (with Eye-Mark) with foil seal;;;;;;;;;;;;;
20416;Spa Therapy;Soothing Muscle Relief Gel 175ml (Cap 20464);;Trialed;;15.08.2025;19.08.2025;19.08.2025;20.08.2025;21.08.2025;25.08.2025;;;;
20417;UltraChem;Thick Bleach Bottle 750ml (J0750STD001W) Light Weighted;;;;;;;;;;;;;
20418;SA Polichem;Silver/Grey Trigger Bottle 1000ml ;;;;;;;;;;;;;
20419;Canway;OSH Pistachio & Salted Caramel Moisturising H&N Cream 65ml;;;;;;;;;;;;;
20420;Canway;OSH Strawberries & Cream Moisturising H&N Cream 65ml;;;;;;;;;;;;;
20421;Canway;OSH Viva La Vanilla Moisturising H&N Cream 65ml;;;;;;;;;;;;;
20422;Great Legend;Boston Tall 250ml Tnt Blue;;;;;;;;;;;;;
20423;Zeta Laboratories;My Spray 47mm 24/410 Natural PET (MB5-022 Drw. F808APET0150;;;;;;;;;;;;;
20424;Zeta Laboratories;47mm Overcap Smooth Natural   ( old JCAPSSKY256F);;;;;;;;;;;;;
20425;Oh Lief;Faithfull To Nature Little Teeth Toothpaste 100ml;;;;;;;;;;;;;
20426;Oh Lief;Faithfull To Nature Natural Toothpaste 100ml;;;;;;;;;;;;;
20427;Saradox;J Jar 50ml - Prl Pink;;;;;;;;;;;;;
20428;Fluidra Waterlinx (Pty) Ltd;38mm Unwadded Cap Blue (SKY:038000UW6) Convert from ExternalM/B To Internal;;;;;;;;;;;;;
20429;Fluidra Waterlinx (Pty) Ltd;86mm Unwadded Cap Yellow(SKY:086012004) Convert from ExternalM/B To Internal;;;;;;;;;;;;;
20430;Canway;Source Roots Of Nature Magnolia & Orange Blossom Hand Cream 65ml;;;;;;;;;;;;;
20431;Canway;Source Roots Of Nature Magnolia & Orange Blossom Body Wash 140ml;;;;;;;;;;;;;
20432;Canway;Source Roots Of Nature Magnolia & Orange Blossom Body Lotion 140ml;;;;;;;;;;;;;
20433;Aerosol & Cosm.;WW Longmarket Sweet Fig Body Wash 100ml;;;;;;;;;;;;;
20434;Repcillin;High Concentrate 30ml;;;;;;;;;;;;;
20435;Repcillin;High Concentrate 50ml;;;;;;;;;;;;;
20436;Repcillin;Crocodile Oil 50ml;;;;;;;;;;;;;
20437;Repcillin;Crocodile Oil 15ml;;;;;;;;;;;;;
20438;Eezybrands;Eezysun Baby & Kids 50ml;;;;;;;;;;;;;
20439;Eezybrands;Eezysun Adult Sunscreen 50ml;;;;;;;;;;;;;
20440;Canway;OSH Pomegranate & Rosehip Oil Hand Cream 65ml;;;;;;;;;;;;;
20441;CW Pharmaceuticals;NexGen Sunscreen Lotion SPF50 50ml;;;;;;;;;;;;;
20442;CW Pharmaceuticals;NexGen Sunscreen Lotion SPF30 100ml;;;;;;;;;;;;;
20443;Canway;OSH Into Midnight Hand Cream Xmas30ml;;;;;;;;;;;;;
20444;Reflecta Laboratories Supplies;500ml Agri 50mm Natural Plain 5-0g - DRUM - C500;;;;;;;;;;;;;
20445;Chet Effects;Push Pull Cap White Base and White Top;;;;;;;;;;;;;
20446;Tiger Brands;Moriana Jar White in PP;;;;;;;;;;;;;
20447;Canway;OSH Lavender Luxury +G12448+G12523;;;;;;;;;;;;;
20448;Canway;OSH Moonlight Floral Hand Cream 30ml;;;;;;;;;;;;;
20449;Sqeezy;Chocolate Condensed Milk 150ml;;;;;;;;;;;;;
20450;Sqeezy;Strawberry Condensed Milk 150ml;;;;;;;;;;;;;
20451;Diageo South Africa;Spiced Gold 50ml with 50% RPET 10.5g;;;;;;;;;;;;;
20452;Canway;Sheer Magic Dome Cap (Purple);;;;;;;;;;;;;
20453;Canway;OSH Unicorn Dreams Twinkle Bath Paint 65ml;;;;;;;;;;;;;
20454;Creighton Prod.;Clicks Hydrate Firming Creamy Petroleum Jelly 170ml;;;;;;;;;;;;;
20455;Creighton Prod.;Soothing Aftersun Sun Protection 20ml;;Closed;;20.06.2025;02.07.2025;03.07.2025;14.08.2025;21.08.2025;25.08.2025;;;;
20456;Creighton Prod.;Complete Shield SPF50 Sun Protection 20ml;;Closed;;20.06.2025;02.07.2025;03.07.2025;14.08.2025;21.08.2025;25.08.2025;;;;
20457;Creighton Prod.;Complete Shield Body Cream SPF50 Sun Protection 50ml;;Closed;;20.06.2025;02.07.2025;03.07.2025;14.08.2025;21.08.2025;25.08.2025;;;;
20458;Essel Products;Dermaplex Triple Action Cleanser Wash 150ml;;Closed;;04.06.2025;03.07.2025;04.07.2025;14.07.2025;15.07.2025;17.08.2025;16.07.2025;17.08.2025;;
20459;Zeta Laboratories;Venus Cap - Silver;;;;;;;;;;;;;
20460;Bio Earth Man.;Clicks Nipple Cream 50ml;;Trialed;;12.06.2025;20.11.2026;20.11.2026;20.01.2026;20.01.2026;21.01.2026;;;;
20461;MBA General Dealers;Maatly Hand & Body Cream 75ml;;;;;;;;;;;;;
20462;Botle Buhle;Golden Icon Body Lotion 150ml;;;;;;;;;;;;;
